"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1960",88.452975,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1961",91.890271,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1962",95.013703,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1963",100.648641,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1964",105.98825,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1965",111.966478,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1966",116.622786,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1967",123.211719,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1968",130.180857,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1969",136.437256,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1970",141.63672,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1971",143.364803,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1972",148.422047,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1973",157.734249,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1974",172.549574,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1975",179.467397,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1976",181.886685,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1977",195.919366,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1978",191.090637,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1979",197.378887,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1980",206.729609,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1981",207.361561,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1982",213.666649,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1983",201.759512,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1984",208.045087,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1985",220.128059,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1986",221.505411,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1987",231.814091,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1988",240.802247,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1989",254.272935,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.523957,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261.017607,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.043441,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",268.959543,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.91146,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.314351,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.218855,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.094577,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",322.712767,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.803345,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.643183,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",340.979763,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",348.959967,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",348.319901,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",361.697603,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",364.240343,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",369.503257,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",379.711936,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",382.997727,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",389.258214,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",391.815827,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",389.852443,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",390.455808,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",383.54313,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2014",373.869885,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2015",380.447074,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2016",390.423287,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2017",392.820131,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2018",391.410534,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2019",389.399485,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2020",374.231223,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2021",378.4844061,
"AUS","AIREMISSION","CO","THND_TONNE","A","1990",5728.572,
"AUS","AIREMISSION","CO","THND_TONNE","A","1991",5747.153,
"AUS","AIREMISSION","CO","THND_TONNE","A","1992",5896.438,
"AUS","AIREMISSION","CO","THND_TONNE","A","1993",6120.59,
"AUS","AIREMISSION","CO","THND_TONNE","A","1994",6262.886,
"AUS","AIREMISSION","CO","THND_TONNE","A","1995",6107.786,
"AUS","AIREMISSION","CO","THND_TONNE","A","1996",6281.752,
"AUS","AIREMISSION","CO","THND_TONNE","A","1997",6297.416,
"AUS","AIREMISSION","CO","THND_TONNE","A","1998",5941.04,
"AUS","AIREMISSION","CO","THND_TONNE","A","1999",5803.739,
"AUS","AIREMISSION","CO","THND_TONNE","A","2000",5386.853,
"AUS","AIREMISSION","CO","THND_TONNE","A","2001",5122.086,
"AUS","AIREMISSION","CO","THND_TONNE","A","2002",4986.231,
"AUS","AIREMISSION","CO","THND_TONNE","A","2003",4499.31,
"AUS","AIREMISSION","CO","THND_TONNE","A","2004",4593.223,
"AUS","AIREMISSION","CO","THND_TONNE","A","2005",3973.063,
"AUS","AIREMISSION","CO","THND_TONNE","A","2006",3943.662,
"AUS","AIREMISSION","CO","THND_TONNE","A","2007",3381.214,
"AUS","AIREMISSION","CO","THND_TONNE","A","2008",3226.089,
"AUS","AIREMISSION","CO","THND_TONNE","A","2009",3156.706,
"AUS","AIREMISSION","CO","THND_TONNE","A","2010",2993.122,
"AUS","AIREMISSION","CO","THND_TONNE","A","2011",2940.926,
"AUS","AIREMISSION","CO","THND_TONNE","A","2012",2906.313,
"AUS","AIREMISSION","CO","THND_TONNE","A","2013",2842.224,
"AUS","AIREMISSION","CO","THND_TONNE","A","2014",2772.519,
"AUS","AIREMISSION","CO","THND_TONNE","A","2015",2721.182,
"AUS","AIREMISSION","CO","THND_TONNE","A","2016",2657.939,
"AUS","AIREMISSION","CO","THND_TONNE","A","2017",2801.087,
"AUS","AIREMISSION","CO","THND_TONNE","A","2018",2568.472,
"AUS","AIREMISSION","CO","THND_TONNE","A","2019",2398.667,
"AUS","AIREMISSION","CO","THND_TONNE","A","2020",2306.962,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1990",1620.455,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1991",1595.685,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1992",1641.505,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1993",1684.372,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1994",1686.574,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1995",1693.053,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1996",1744.622,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1997",1797.993,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1998",1835.052,
"AUS","AIREMISSION","NOX","THND_TONNE","A","1999",1866.879,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2000",1875.345,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2001",1959.555,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2002",2039.442,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2003",2121.049,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2004",2174.42,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2005",2194.272,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2006",2204.723,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2007",2213.795,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2008",2266.42,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2009",2250.388,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2010",2340.436,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2011",2291.206,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2012",2438.566,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2013",2506.937,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2014",2526.549,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2015",2543.935,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2016",2609.507,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2017",2686.69,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2018",2770.321,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2019",2729.413,
"AUS","AIREMISSION","NOX","THND_TONNE","A","2020",2977.647,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1990",1585.187,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1991",1569.962,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1992",1652.023,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1993",1742.301,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1994",1764.29,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1995",1673.394,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1996",1761.397,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1997",1817.485,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1998",1742.829,
"AUS","AIREMISSION","SOX","THND_TONNE","A","1999",1831.736,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2000",2342.481,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2001",2584.435,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2002",2774.853,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2003",2774.556,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2004",2512.307,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2005",2520.124,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2006",2482.611,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2007",2444.737,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2008",2512.359,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2009",2597.916,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2010",2378.108,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2011",2507.008,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2012",2518.091,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2013",2414.181,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2014",2499.707,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2015",2384.848,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2016",2465.66,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2017",2287.733,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2018",2083.047,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2019",2152.252,
"AUS","AIREMISSION","SOX","THND_TONNE","A","2020",2080.404,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1990",1514.639,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1991",1506.22,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1992",1510.862,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1993",1528.016,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1994",1539.812,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1995",1522.776,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1996",1492.444,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1997",1490.448,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1998",1479.754,
"AUS","AIREMISSION","VOC","THND_TONNE","A","1999",1447.612,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2000",1415.563,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2001",1405.297,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2002",1420.283,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2003",1248.494,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2004",1256.756,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2005",1234.237,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2006",1241.931,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2007",1202.335,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2008",1198.514,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2009",1210.964,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2010",1195.317,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2011",1206.222,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2012",1214.663,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2013",1227.379,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2014",1254.081,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2015",1282.875,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2016",1257.956,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2017",1302.548,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2018",1262.473,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2019",1175.369,
"AUS","AIREMISSION","VOC","THND_TONNE","A","2020",1149.573,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1960",8.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1961",8.63,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1962",8.76,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1963",9.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1964",9.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1965",9.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1966",9.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1967",10.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1968",10.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1969",11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1970",11.19,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1971",10.86,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1972",11.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1973",11.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1974",12.48,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1975",12.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1976",12.89,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1977",13.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1978",13.24,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1979",13.52,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1980",13.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1981",13.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1982",14.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1983",13.11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1984",13.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1985",13.94,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1986",13.83,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1987",14.25,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1988",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1989",15.12,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15.21,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",15.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15.16,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.25,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.44,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.45,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.48,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.69,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.66,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.05,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.23,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.02,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",17.95,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.78,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.45,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",17.18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.58,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.93,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",16.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.67,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2019",15.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2020",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2021",14.71,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.941,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.629,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.571,
